t_Myr,T_C
0.32428,108.91
0.32721,108.56
0.33017,108.22
0.33315,107.87
0.33617,107.52
0.33921,107.18
0.34227,106.84
0.34537,106.5
0.34849,106.16
0.35164,105.82
0.35482,105.48
0.35803,105.15
0.36126,104.81
0.36453,104.48
0.36782,104.15
0.37115,103.82
0.3745,103.49
0.37789,103.17
0.38131,102.84
0.38475,102.52
0.38823,102.19
0.39174,101.87
0.39528,101.55
0.39885,101.24
0.40246,100.92
0.4061,100.6
0.40977,100.29
0.41347,99.978
0.41721,99.667
0.42098,99.357
0.42479,99.048
0.42863,98.741
0.4325,98.435
0.43641,98.131
0.44036,97.828
0.44434,97.526
0.44836,97.226
0.45241,96.926
0.4565,96.628
0.46063,96.332
0.46479,96.037
0.46899,95.743
0.47323,95.45
0.47751,95.159
0.48183,94.868
0.48618,94.58
0.49058,94.292
0.49501,94.006
0.49949,93.72
0.504,93.437
0.50856,93.154
0.51316,92.873
0.5178,92.593
0.52248,92.314
0.5272,92.036
0.53197,91.76
0.53678,91.484
0.54163,91.21
0.54653,90.937
0.55147,90.666
0.55645,90.395
0.56148,90.126
0.56656,89.858
0.57168,89.591
0.57685,89.326
0.58206,89.061
0.58732,88.798
0.59263,88.535
0.59799,88.274
0.6034,88.014
0.60885,87.756
0.61436,87.498
0.61991,87.241
0.62551,86.986
0.63117,86.732
0.63688,86.479
0.64263,86.227
0.64844,85.976
0.6543,85.726
0.66022,85.477
0.66619,85.23
0.67221,84.983
0.67829,84.738
0.68442,84.494
0.69061,84.25
0.69685,84.008
0.70315,83.767
0.70951,83.527
0.71592,83.288
0.72239,83.05
0.72892,82.813
0.73551,82.577
0.74216,82.342
0.74887,82.109
0.75564,81.876
0.76247,81.644
0.76936,81.414
0.77632,81.184
0.78334,80.955
0.79042,80.728
0.79756,80.501
0.80477,80.275
0.81205,80.051
0.81939,79.827
0.8268,79.605
0.83427,79.383
0.84181,79.162
0.84943,78.943
0.8571,78.724
0.86485,78.506
0.87267,78.289
0.88056,78.073
0.88852,77.859
0.89655,77.645
0.90466,77.432
0.91284,77.22
0.92109,77.009
0.92941,76.798
0.93782,76.589
0.94629,76.381
0.95485,76.174
0.96348,75.967
0.97219,75.762
0.98098,75.557
0.98985,75.353
0.9988,75.15
1.0078,74.948
1.0169,74.747
1.0261,74.547
1.0354,74.348
1.0448,74.15
