Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
384,73,69.35,76.65,
384.5,73,69.35,76.65,
385,73,69.35,76.65,
385.5,73,69.35,76.65,
386,73,69.35,76.65,
386.5,73,69.35,76.65,
387,73,69.35,76.65,
387.5,73,69.35,76.65,
388,73,69.35,76.65,
388.5,73,69.35,76.65,
389,73,69.35,76.65,
389.5,73,69.35,76.65,
390,73,69.35,76.65,
390.5,73,69.35,76.65,
391,73,69.35,76.65,
391.5,73,69.35,76.65,
392,73,69.35,76.65,
392.5,73,69.35,76.65,
393,73,69.35,76.65,
393.5,73,69.35,76.65,
394,73,69.35,76.65,
394.5,73,69.35,76.65,
395,73,69.35,76.65,
395.5,73,69.35,76.65,
396,73,69.35,76.65,
396.5,73,69.35,76.65,
397,73,69.35,76.65,
397.5,73,69.35,76.65,
398,73,69.35,76.65,
398.5,73,69.35,76.65,
399,73,69.35,76.65,
399.5,73,69.35,76.65,
400,73,69.35,76.65,
400.5,74.26,70.547,77.973,
401,75.52,71.744,79.296,
401.5,76.78,72.941,80.619,
402,78.04,74.138,81.942,
402.5,79.3,75.335,83.265,
403,80.56,76.532,84.588,
403.5,81.82,77.729,85.911,
404,83.08,78.926,87.234,
404.5,84.34,80.123,88.557,
405,85.6,81.32,89.88,
405.5,86.86,82.517,91.203,
406,88.12,83.714,92.526,
406.5,89.38,84.911,93.849,
407,90.64,86.108,95.172,
407.5,91.9,87.305,96.495,
408,93.16,88.502,97.818,
408.5,94.42,89.699,99.141,
409,95.68,90.896,100.464,
409.5,96.94,92.093,101.787,
410,98.2,93.29,103.11,
410.5,99.46,94.487,104.433,
411,100.72,95.684,105.756,
411.5,101.98,96.881,107.079,
412,103.24,98.078,108.402,
412.5,104.5,99.275,109.725,
413,105.76,100.472,111.048,
413.5,107.02,101.669,112.371,
414,108.28,102.866,113.694,
414.5,109.54,104.063,115.017,
415,110.8,105.26,116.34,
415.5,112.06,106.457,117.663,
416,113.32,107.654,118.986,
416.5,114.58,108.851,120.309,
417,115.84,110.048,121.632,
417.5,117.1,111.245,122.955,
418,118.36,112.442,124.278,
418.5,119.62,113.639,125.601,
419,120.88,114.836,126.924,
419.5,122.14,116.033,128.247,
420,123.4,117.23,129.57,
420.5,124.66,118.427,130.893,
421,125.92,119.624,132.216,
421.5,127.18,120.821,133.539,
422,128.44,122.018,134.862,
422.5,129.7,123.215,136.185,
423,130.96,124.412,137.508,
423.5,132.22,125.609,138.831,
424,133.48,126.806,140.154,
